root@notebook-1898717724949078018-scngsz9kqh-56749:~# python model.py 
Training Original BotRGCN:
Epoch 030 | Loss: 0.1636 | Val Acc: 0.9423 | Val F1: 0.9373
Epoch 031 | Loss: 0.1608 | Val Acc: 0.9452 | Val F1: 0.9403
Epoch 032 | Loss: 0.1585 | Val Acc: 0.9423 | Val F1: 0.9372
Epoch 033 | Loss: 0.1573 | Val Acc: 0.9423 | Val F1: 0.9372
Epoch 034 | Loss: 0.1547 | Val Acc: 0.9433 | Val F1: 0.9383
Epoch 035 | Loss: 0.1512 | Val Acc: 0.9442 | Val F1: 0.9394
Epoch 036 | Loss: 0.1407 | Val Acc: 0.9480 | Val F1: 0.9433
Epoch 037 | Loss: 0.1442 | Val Acc: 0.9452 | Val F1: 0.9406
Epoch 038 | Loss: 0.1419 | Val Acc: 0.9471 | Val F1: 0.9420
Epoch 039 | Loss: 0.1352 | Val Acc: 0.9471 | Val F1: 0.9422
Epoch 040 | Loss: 0.1362 | Val Acc: 0.9471 | Val F1: 0.9425
Epoch 041 | Loss: 0.1312 | Val Acc: 0.9499 | Val F1: 0.9456
Epoch 042 | Loss: 0.1301 | Val Acc: 0.9499 | Val F1: 0.9451
Epoch 043 | Loss: 0.1297 | Val Acc: 0.9423 | Val F1: 0.9378
Epoch 044 | Loss: 0.1273 | Val Acc: 0.9461 | Val F1: 0.9406
Epoch 045 | Loss: 0.1302 | Val Acc: 0.9461 | Val F1: 0.9417
Epoch 046 | Loss: 0.1205 | Val Acc: 0.9499 | Val F1: 0.9456
Epoch 047 | Loss: 0.1162 | Val Acc: 0.9490 | Val F1: 0.9440
Epoch 048 | Loss: 0.1179 | Val Acc: 0.9471 | Val F1: 0.9426
Epoch 049 | Loss: 0.1122 | Val Acc: 0.9480 | Val F1: 0.9437
Epoch 050 | Loss: 0.1124 | Val Acc: 0.9452 | Val F1: 0.9396
Epoch 051 | Loss: 0.1188 | Val Acc: 0.9414 | Val F1: 0.9369
Epoch 052 | Loss: 0.1172 | Val Acc: 0.9490 | Val F1: 0.9443
Epoch 053 | Loss: 0.1006 | Val Acc: 0.9480 | Val F1: 0.9427
Epoch 054 | Loss: 0.1117 | Val Acc: 0.9414 | Val F1: 0.9367
Epoch 055 | Loss: 0.1041 | Val Acc: 0.9490 | Val F1: 0.9445
Epoch 056 | Loss: 0.0954 | Val Acc: 0.9452 | Val F1: 0.9397
Epoch 057 | Loss: 0.1020 | Val Acc: 0.9405 | Val F1: 0.9354
Epoch 058 | Loss: 0.0957 | Val Acc: 0.9461 | Val F1: 0.9414
Epoch 059 | Loss: 0.0881 | Val Acc: 0.9471 | Val F1: 0.9420
Epoch 060 | Loss: 0.0866 | Val Acc: 0.9461 | Val F1: 0.9414
Epoch 061 | Loss: 0.0827 | Val Acc: 0.9461 | Val F1: 0.9415
Early stopping at epoch 61
Final Test Accuracy: 0.9028 | Test F1: 0.8929

Training BotGCN:
Epoch 001 | Loss: 1.4179 | Val Acc: 0.6323 | Val F1: 0.3874
Epoch 002 | Loss: 1.9487 | Val Acc: 0.7495 | Val F1: 0.6591
Epoch 003 | Loss: 0.6206 | Val Acc: 0.3677 | Val F1: 0.2688
Epoch 004 | Loss: 1.0311 | Val Acc: 0.6011 | Val F1: 0.5940
Epoch 005 | Loss: 0.6654 | Val Acc: 0.8289 | Val F1: 0.7905
Epoch 006 | Loss: 0.4079 | Val Acc: 0.8053 | Val F1: 0.7538
Epoch 007 | Loss: 0.4152 | Val Acc: 0.7968 | Val F1: 0.7404
Epoch 008 | Loss: 0.4135 | Val Acc: 0.7940 | Val F1: 0.7359
Epoch 009 | Loss: 0.4027 | Val Acc: 0.7987 | Val F1: 0.7434
Epoch 010 | Loss: 0.3836 | Val Acc: 0.8119 | Val F1: 0.7639
Epoch 011 | Loss: 0.3576 | Val Acc: 0.8365 | Val F1: 0.8006
Epoch 012 | Loss: 0.3281 | Val Acc: 0.8648 | Val F1: 0.8400
Epoch 013 | Loss: 0.3333 | Val Acc: 0.8913 | Val F1: 0.8743
Epoch 014 | Loss: 0.3209 | Val Acc: 0.9102 | Val F1: 0.8979
Epoch 015 | Loss: 0.2973 | Val Acc: 0.9130 | Val F1: 0.9014
Epoch 016 | Loss: 0.2641 | Val Acc: 0.9197 | Val F1: 0.9092
Epoch 017 | Loss: 0.2501 | Val Acc: 0.9244 | Val F1: 0.9149
Epoch 018 | Loss: 0.2269 | Val Acc: 0.9301 | Val F1: 0.9217
Epoch 019 | Loss: 0.2151 | Val Acc: 0.9348 | Val F1: 0.9275
Epoch 020 | Loss: 0.1993 | Val Acc: 0.9395 | Val F1: 0.9333
Epoch 021 | Loss: 0.1994 | Val Acc: 0.9452 | Val F1: 0.9400
Epoch 022 | Loss: 0.1751 | Val Acc: 0.9499 | Val F1: 0.9454
Epoch 023 | Loss: 0.1789 | Val Acc: 0.9518 | Val F1: 0.9474
Epoch 024 | Loss: 0.1596 | Val Acc: 0.9537 | Val F1: 0.9495
Epoch 025 | Loss: 0.1558 | Val Acc: 0.9575 | Val F1: 0.9537
Epoch 026 | Loss: 0.1446 | Val Acc: 0.9612 | Val F1: 0.9579
Epoch 027 | Loss: 0.1164 | Val Acc: 0.9679 | Val F1: 0.9653
Epoch 028 | Loss: 0.1177 | Val Acc: 0.9669 | Val F1: 0.9644
Epoch 029 | Loss: 0.1157 | Val Acc: 0.9679 | Val F1: 0.9654
